claim_stage,expected_severity,incurred_but_not_reported_flag,accrual_factor,expected_loss_amount,uncertainty_score
Under Investigation,Minor,No,0.722,3204.03,0.356
Under Investigation,Minor,No,0.677,1286.04,0.337
Approved,Minor,No,0.923,7444.18,0.31
IBNR,Moderate,Yes,0.835,21127.63,0.891
Evaluated,Catastrophic,No,0.768,324383.6,0.387
Closed,Minor,No,1.0,1834.71,0.015
Closed,Severe,No,1.0,171069.24,0.109
Under Investigation,Catastrophic,No,0.524,434542.63,0.551
Closed,Moderate,No,1.0,38182.87,0.007
Approved,Severe,No,0.978,178297.66,0.36
IBNR,Severe,Yes,0.836,175116.56,0.573
Closed,Moderate,No,1.0,36807.01,0.105
Under Investigation,Moderate,No,0.66,19792.44,0.485
Settled,Moderate,No,1.0,37384.57,0.126
Reported,Moderate,No,0.547,42201.83,0.681
Under Investigation,Moderate,No,0.774,32687.2,0.587
Approved,Catastrophic,No,0.901,931638.07,0.238
Settled,Moderate,No,1.0,19865.1,0.084
Settled,Catastrophic,No,1.0,918258.31,0.06
Approved,Moderate,No,0.916,13636.38,0.114
Under Investigation,Moderate,No,0.688,41683.17,0.469
Under Investigation,Catastrophic,No,0.614,996897.1,0.512
Reported,Minor,No,0.505,5832.73,0.62
Closed,Minor,No,1.0,3641.5,0.024
Reported,Severe,No,0.592,164294.33,0.728
Under Investigation,Severe,No,0.753,126149.43,0.38
Closed,Moderate,No,1.0,31575.16,0.117
Reported,Severe,No,0.447,66780.16,0.663
Settled,Moderate,No,1.0,12317.01,0.132
Under Investigation,Minor,No,0.72,8344.21,0.691
Evaluated,Moderate,No,0.832,47873.95,0.15
IBNR,Moderate,Yes,0.979,40210.61,0.81
Settled,Catastrophic,No,1.0,996119.49,0.097
Reopened,Catastrophic,No,0.636,379757.87,0.435
Approved,Moderate,No,0.851,38313.64,0.118
Under Investigation,Minor,No,0.758,1637.72,0.395
Reopened,Moderate,No,0.762,38934.1,0.653
Reopened,Moderate,No,0.835,42299.88,0.376
Under Investigation,Catastrophic,No,0.606,528881.82,0.646
Reported,Minor,No,0.318,7553.92,0.86
Under Investigation,Moderate,No,0.557,31451.43,0.356
Evaluated,Severe,No,0.793,181172.89,0.123
Under Investigation,Minor,No,0.696,5865.29,0.306
Under Investigation,Moderate,No,0.55,29425.65,0.385
IBNR,Minor,Yes,0.749,1019.4,0.676
Reopened,Severe,No,0.727,193597.65,0.698
Reopened,Moderate,No,0.657,18708.04,0.323
Reported,Severe,No,0.317,137626.64,0.726
Evaluated,Minor,No,0.892,1721.0,0.156
Under Investigation,Moderate,No,0.621,47663.85,0.528
Reported,Minor,No,0.426,6253.05,0.735
Settled,Moderate,No,1.0,36789.04,0.047
Settled,Catastrophic,No,1.0,304702.63,0.097
Reopened,Severe,No,0.879,190360.14,0.304
Under Investigation,Minor,No,0.661,5552.96,0.353
Closed,Minor,No,1.0,8913.43,0.055
Evaluated,Catastrophic,No,0.867,762831.94,0.284
Reported,Severe,No,0.58,65537.98,0.895
Settled,Minor,No,1.0,9007.41,0.111
Evaluated,Severe,No,0.756,81594.45,0.203
Settled,Catastrophic,No,1.0,400897.0,0.136
Reported,Minor,No,0.49,8464.13,0.52
Closed,Moderate,No,1.0,35484.54,0.039
Reopened,Catastrophic,No,0.768,289499.1,0.678
Evaluated,Minor,No,0.867,6242.59,0.144
Evaluated,Minor,No,0.762,9090.83,0.339
Reported,Severe,No,0.363,87429.46,0.546
IBNR,Moderate,Yes,0.978,19469.49,0.573
Evaluated,Catastrophic,No,0.705,789251.58,0.2
IBNR,Moderate,Yes,0.78,41494.98,0.549
Reported,Catastrophic,No,0.367,853269.28,0.707
Settled,Moderate,No,1.0,18916.94,0.099
IBNR,Severe,Yes,0.784,60413.11,0.848
Closed,Catastrophic,No,1.0,743614.49,0.127
Closed,Minor,No,1.0,2038.08,0.146
Evaluated,Severe,No,0.708,139485.69,0.204
Closed,Catastrophic,No,1.0,684967.08,0.077
IBNR,Moderate,Yes,0.776,38351.41,0.501
Approved,Severe,No,0.906,192331.17,0.376
Closed,Minor,No,1.0,7477.79,0.045
Settled,Catastrophic,No,1.0,460946.32,0.105
Evaluated,Moderate,No,0.784,47614.55,0.303
Evaluated,Severe,No,0.781,175058.78,0.191
Approved,Catastrophic,No,0.952,685329.26,0.197
Reopened,Catastrophic,No,0.803,608939.2,0.617
Evaluated,Minor,No,0.757,6974.68,0.286
Under Investigation,Moderate,No,0.702,18985.63,0.38
Reported,Minor,No,0.373,5276.23,0.882
Under Investigation,Catastrophic,No,0.624,703812.3,0.378
IBNR,Catastrophic,Yes,0.82,318057.08,0.809
Under Investigation,Catastrophic,No,0.566,843287.88,0.578
Reopened,Minor,No,0.767,9257.23,0.349
Evaluated,Catastrophic,No,0.834,990313.96,0.279
Reopened,Catastrophic,No,0.849,638297.56,0.659
Reopened,Catastrophic,No,0.678,397791.79,0.555
Reopened,Moderate,No,0.682,13099.33,0.414
Settled,Severe,No,1.0,97956.44,0.081
Evaluated,Moderate,No,0.746,37757.99,0.312
Under Investigation,Catastrophic,No,0.622,634088.91,0.466
Approved,Catastrophic,No,0.901,815836.62,0.384
Reported,Catastrophic,No,0.443,954193.33,0.634
IBNR,Catastrophic,Yes,0.861,787707.25,0.86
Approved,Catastrophic,No,0.879,548668.78,0.109
Closed,Catastrophic,No,1.0,779345.1,0.126
Evaluated,Minor,No,0.881,6327.03,0.299
Under Investigation,Catastrophic,No,0.541,569358.76,0.32
IBNR,Severe,Yes,0.763,99026.87,0.843
IBNR,Severe,Yes,0.926,174788.64,0.614
